adversarial_fraction,seed,algorithm,accuracy
0.1,1022,reputation_weighted,1.0
0.1,1022,time_decayed,0.98
0.1,1023,majority_vote,0.96
0.1,1023,reputation_weighted,1.0
0.1,1023,time_decayed,0.98
0.1,1024,majority_vote,0.96
0.1,1024,reputation_weighted,1.0
0.1,1024,time_decayed,0.98
0.1,1025,majority_vote,0.98
0.1,1025,reputation_weighted,1.0
0.1,1025,time_decayed,1.0
0.1,1026,majority_vote,0.96
0.1,1026,reputation_weighted,0.98
0.1,1026,time_decayed,0.98
0.1,1027,majority_vote,0.98
0.1,1027,reputation_weighted,1.0
0.1,1027,time_decayed,0.92
0.1,1028,majority_vote,0.92
0.1,1028,reputation_weighted,1.0
0.1,1028,time_decayed,0.96
0.1,1029,majority_vote,0.96
0.1,1029,reputation_weighted,1.0
0.1,1029,time_decayed,1.0
0.2,1000,majority_vote,0.9
0.2,1000,reputation_weighted,0.96
0.2,1000,time_decayed,0.94
0.2,1001,majority_vote,0.82
0.2,1001,reputation_weighted,0.98
0.2,1001,time_decayed,0.96
0.2,1002,majority_vote,0.82
0.2,1002,reputation_weighted,1.0
0.2,1002,time_decayed,0.92
0.2,1003,majority_vote,0.94
0.2,1003,reputation_weighted,1.0
0.2,1003,time_decayed,0.96
0.2,1004,majority_vote,0.82
0.2,1004,reputation_weighted,1.0
0.2,1004,time_decayed,0.96
0.2,1005,majority_vote,0.92
0.2,1005,reputation_weighted,1.0
0.2,1005,time_decayed,0.96
0.2,1006,majority_vote,0.88
0.2,1006,reputation_weighted,0.98
0.2,1006,time_decayed,1.0
0.2,1007,majority_vote,0.94
0.2,1007,reputation_weighted,1.0
0.2,1007,time_decayed,0.98
0.2,1008,majority_vote,0.88
0.2,1008,reputation_weighted,0.98
0.2,1008,time_decayed,0.94
0.2,1009,majority_vote,0.94
0.2,1009,reputation_weighted,0.98
0.2,1009,time_decayed,0.96
0.2,1010,majority_vote,0.88
0.2,1010,reputation_weighted,0.98
0.2,1010,time_decayed,0.96
0.2,1011,majority_vote,0.9
0.2,1011,reputation_weighted,0.96
0.2,1011,time_decayed,0.96
0.2,1012,majority_vote,0.92
0.2,1012,reputation_weighted,0.98
0.2,1012,time_decayed,0.96
0.2,1013,majority_vote,0.82
0.2,1013,reputation_weighted,0.94
0.2,1013,time_decayed,0.88
0.2,1014,majority_vote,0.9
0.2,1014,reputation_weighted,0.98
0.2,1014,time_decayed,1.0
0.2,1015,majority_vote,0.9
0.2,1015,reputation_weighted,1.0
0.2,1015,time_decayed,1.0
0.2,1016,majority_vote,0.88
0.2,1016,reputation_weighted,0.96
0.2,1016,time_decayed,0.94
0.2,1017,majority_vote,0.86
0.2,1017,reputation_weighted,0.98
0.2,1017,time_decayed,0.98
0.2,1018,majority_vote,0.8
0.2,1018,reputation_weighted,0.96
0.2,1018,time_decayed,0.96
0.2,1019,majority_vote,0.98
0.2,1019,reputation_weighted,1.0
0.2,1019,time_decayed,0.98
0.2,1020,majority_vote,0.92
0.2,1020,reputation_weighted,0.98
0.2,1020,time_decayed,0.96
0.2,1021,majority_vote,0.82
0.2,1021,reputation_weighted,1.0
0.2,1021,time_decayed,0.92
0.2,1022,majority_vote,0.92
0.2,1022,reputation_weighted,1.0
0.2,1022,time_decayed,0.92
0.2,1023,majority_vote,0.88
0.2,1023,reputation_weighted,0.94
0.2,1023,time_decayed,0.88
0.2,1024,majority_vote,0.92
0.2,1024,reputation_weighted,1.0
0.2,1024,time_decayed,0.9
0.2,1025,majority_vote,0.86
0.2,1025,reputation_weighted,1.0
0.2,1025,time_decayed,0.92
0.2,1026,majority_vote,0.92
0.2,1026,reputation_weighted,0.96
0.2,1026,time_decayed,0.98
0.2,1027,majority_vote,0.88
0.2,1027,reputation_weighted,1.0
0.2,1027,time_decayed,0.98
0.2,1028,majority_vote,0.88
0.2,1028,reputation_weighted,1.0
0.2,1028,time_decayed,0.98
0.2,1029,majority_vote,0.92
0.2,1029,reputation_weighted,1.0
0.2,1029,time_decayed,0.98
0.3,1000,majority_vote,0.9
0.3,1000,reputation_weighted,1.0
0.3,1000,time_decayed,0.98
0.3,1001,majority_vote,0.66
0.3,1001,reputation_weighted,0.96
0.3,1001,time_decayed,0.86
0.3,1002,majority_vote,0.62
0.3,1002,reputation_weighted,0.94
0.3,1002,time_decayed,0.84
0.3,1003,majority_vote,0.78
0.3,1003,reputation_weighted,1.0
0.3,1003,time_decayed,0.94
0.3,1004,majority_vote,0.52
0.3,1004,reputation_weighted,0.98
0.3,1004,time_decayed,0.9
0.3,1005,majority_vote,0.74
0.3,1005,reputation_weighted,0.98
0.3,1005,time_decayed,0.94
0.3,1006,majority_vote,0.7
0.3,1006,reputation_weighted,0.94
0.3,1006,time_decayed,0.88
0.3,1007,majority_vote,0.68
0.3,1007,reputation_weighted,1.0
0.3,1007,time_decayed,0.92
0.3,1008,majority_vote,0.76
0.3,1008,reputation_weighted,1.0
0.3,1008,time_decayed,0.9
0.3,1009,majority_vote,0.72
0.3,1009,reputation_weighted,0.96
0.3,1009,time_decayed,0.94
0.3,1010,majority_vote,0.76
0.3,1010,reputation_weighted,0.98
0.3,1010,time_decayed,1.0
0.3,1011,majority_vote,0.76
0.3,1011,reputation_weighted,0.94
0.3,1011,time_decayed,0.96
0.3,1012,majority_vote,0.8
0.3,1012,reputation_weighted,1.0
0.3,1012,time_decayed,1.0
0.3,1013,majority_vote,0.72
0.3,1013,reputation_weighted,0.96
0.3,1013,time_decayed,0.94
0.3,1014,majority_vote,0.8
0.3,1014,reputation_weighted,0.98
0.3,1014,time_decayed,0.98
0.3,1015,majority_vote,0.7
0.3,1015,reputation_weighted,1.0
0.3,1015,time_decayed,0.98
0.3,1016,majority_vote,0.76
0.3,1016,reputation_weighted,0.98
0.3,1016,time_decayed,0.96
0.3,1017,majority_vote,0.74
0.3,1017,reputation_weighted,0.98
0.3,1017,time_decayed,0.92
0.3,1018,majority_vote,0.72
0.3,1018,reputation_weighted,0.96
0.3,1018,time_decayed,0.92
0.3,1019,majority_vote,0.76
0.3,1019,reputation_weighted,0.96
0.3,1019,time_decayed,0.94
0.3,1020,majority_vote,0.72
0.3,1020,reputation_weighted,1.0
0.3,1020,time_decayed,0.92
0.3,1021,majority_vote,0.78
0.3,1021,reputation_weighted,1.0
0.3,1021,time_decayed,0.98
0.3,1022,majority_vote,0.76
0.3,1022,reputation_weighted,0.98
0.3,1022,time_decayed,0.96
0.3,1023,majority_vote,0.8
0.3,1023,reputation_weighted,0.98
0.3,1023,time_decayed,0.86
0.3,1024,majority_vote,0.78
0.3,1024,reputation_weighted,1.0
0.3,1024,time_decayed,0.94
0.3,1025,majority_vote,0.74
0.3,1025,reputation_weighted,1.0
0.3,1025,time_decayed,0.92
0.3,1026,majority_vote,0.8
0.3,1026,reputation_weighted,1.0
0.3,1026,time_decayed,1.0
0.3,1027,majority_vote,0.76
0.3,1027,reputation_weighted,1.0
0.3,1027,time_decayed,0.94
0.3,1028,majority_vote,0.7
0.3,1028,reputation_weighted,0.94
0.3,1028,time_decayed,0.9
0.3,1029,majority_vote,0.78
0.3,1029,reputation_weighted,0.96
0.3,1029,time_decayed,0.98
0.4,1000,majority_vote,0.62
0.4,1000,reputation_weighted,0.96
0.4,1000,time_decayed,0.92
0.4,1001,majority_vote,0.48
0.4,1001,reputation_weighted,0.94
0.4,1001,time_decayed,0.94
0.4,1002,majority_vote,0.56
0.4,1002,reputation_weighted,0.94
0.4,1002,time_decayed,0.9
0.4,1003,majority_vote,0.44
0.4,1003,reputation_weighted,0.86
0.4,1003,time_decayed,0.76
0.4,1004,majority_vote,0.5
0.4,1004,reputation_weighted,0.96
0.4,1004,time_decayed,0.92
0.4,1005,majority_vote,0.62
0.4,1005,reputation_weighted,1.0
0.4,1005,time_decayed,0.94
0.4,1006,majority_vote,0.56
0.4,1006,reputation_weighted,0.96
0.4,1006,time_decayed,0.98
0.4,1007,majority_vote,0.58
0.4,1007,reputation_weighted,0.98
0.4,1007,time_decayed,0.9
0.4,1008,majority_vote,0.56
0.4,1008,reputation_weighted,1.0
0.4,1008,time_decayed,0.88
0.4,1009,majority_vote,0.56
0.4,1009,reputation_weighted,0.96
0.4,1009,time_decayed,0.96
0.4,1010,majority_vote,0.58
0.4,1010,reputation_weighted,0.98
0.4,1010,time_decayed,0.96
0.4,1011,majority_vote,0.7
0.4,1011,reputation_weighted,0.98
0.4,1011,time_decayed,0.92
0.4,1012,majority_vote,0.56
0.4,1012,reputation_weighted,1.0
0.4,1012,time_decayed,0.98
0.4,1013,majority_vote,0.58
0.4,1013,reputation_weighted,0.96
0.4,1013,time_decayed,0.94
0.4,1014,majority_vote,0.62
0.4,1014,reputation_weighted,0.96
