flip_probability,seed,algorithm,accuracy
0.8,2022,time_decayed,0.74
0.8,2023,majority_vote,0.64
0.8,2023,reputation_weighted,0.7
0.8,2023,time_decayed,0.84
0.8,2024,majority_vote,0.52
0.8,2024,reputation_weighted,0.58
0.8,2024,time_decayed,0.74
0.8,2025,majority_vote,0.46
0.8,2025,reputation_weighted,0.58
0.8,2025,time_decayed,0.84
0.8,2026,majority_vote,0.68
0.8,2026,reputation_weighted,0.72
0.8,2026,time_decayed,0.82
0.8,2027,majority_vote,0.48
0.8,2027,reputation_weighted,0.5
0.8,2027,time_decayed,0.76
0.8,2028,majority_vote,0.54
0.8,2028,reputation_weighted,0.54
0.8,2028,time_decayed,0.78
0.8,2029,majority_vote,0.64
0.8,2029,reputation_weighted,0.72
0.8,2029,time_decayed,0.82
