flip_probability,seed,algorithm,accuracy
0.1,2022,reputation_weighted,0.94
0.1,2022,time_decayed,0.88
0.1,2023,majority_vote,0.98
0.1,2023,reputation_weighted,0.98
0.1,2023,time_decayed,0.98
0.1,2024,majority_vote,0.88
0.1,2024,reputation_weighted,0.9
0.1,2024,time_decayed,0.9
0.1,2025,majority_vote,0.98
0.1,2025,reputation_weighted,0.98
0.1,2025,time_decayed,0.98
0.1,2026,majority_vote,0.94
0.1,2026,reputation_weighted,0.94
0.1,2026,time_decayed,0.94
0.1,2027,majority_vote,0.9
0.1,2027,reputation_weighted,0.92
0.1,2027,time_decayed,0.88
0.1,2028,majority_vote,0.98
0.1,2028,reputation_weighted,0.98
0.1,2028,time_decayed,0.98
0.1,2029,majority_vote,0.94
0.1,2029,reputation_weighted,0.96
0.1,2029,time_decayed,0.94
0.2,2000,majority_vote,0.92
0.2,2000,reputation_weighted,0.94
0.2,2000,time_decayed,0.98
0.2,2001,majority_vote,0.9
0.2,2001,reputation_weighted,0.9
0.2,2001,time_decayed,0.92
0.2,2002,majority_vote,0.86
0.2,2002,reputation_weighted,0.88
0.2,2002,time_decayed,0.94
0.2,2003,majority_vote,0.94
0.2,2003,reputation_weighted,0.94
0.2,2003,time_decayed,0.94
0.2,2004,majority_vote,0.84
0.2,2004,reputation_weighted,0.86
0.2,2004,time_decayed,0.92
0.2,2005,majority_vote,0.92
0.2,2005,reputation_weighted,0.9
0.2,2005,time_decayed,0.92
0.2,2006,majority_vote,0.84
0.2,2006,reputation_weighted,0.9
0.2,2006,time_decayed,0.92
0.2,2007,majority_vote,0.92
0.2,2007,reputation_weighted,0.92
0.2,2007,time_decayed,0.92
0.2,2008,majority_vote,0.9
0.2,2008,reputation_weighted,0.9
0.2,2008,time_decayed,0.94
0.2,2009,majority_vote,0.86
0.2,2009,reputation_weighted,0.86
0.2,2009,time_decayed,0.92
0.2,2010,majority_vote,0.92
0.2,2010,reputation_weighted,0.92
0.2,2010,time_decayed,0.92
0.2,2011,majority_vote,0.84
0.2,2011,reputation_weighted,0.88
0.2,2011,time_decayed,0.88
0.2,2012,majority_vote,0.92
0.2,2012,reputation_weighted,0.92
0.2,2012,time_decayed,0.98
0.2,2013,majority_vote,0.88
0.2,2013,reputation_weighted,0.88
0.2,2013,time_decayed,0.9
0.2,2014,majority_vote,0.9
0.2,2014,reputation_weighted,0.88
0.2,2014,time_decayed,0.94
0.2,2015,majority_vote,0.92
0.2,2015,reputation_weighted,0.92
0.2,2015,time_decayed,0.92
0.2,2016,majority_vote,0.92
0.2,2016,reputation_weighted,0.9
0.2,2016,time_decayed,0.94
0.2,2017,majority_vote,0.9
0.2,2017,reputation_weighted,0.92
0.2,2017,time_decayed,0.98
0.2,2018,majority_vote,0.88
0.2,2018,reputation_weighted,0.9
0.2,2018,time_decayed,0.9
0.2,2019,majority_vote,0.96
0.2,2019,reputation_weighted,0.98
0.2,2019,time_decayed,0.96
0.2,2020,majority_vote,0.88
0.2,2020,reputation_weighted,0.92
0.2,2020,time_decayed,0.88
0.2,2021,majority_vote,0.9
0.2,2021,reputation_weighted,0.92
0.2,2021,time_decayed,0.94
0.2,2022,majority_vote,0.84
0.2,2022,reputation_weighted,0.88
0.2,2022,time_decayed,0.88
0.2,2023,majority_vote,0.92
0.2,2023,reputation_weighted,0.92
0.2,2023,time_decayed,0.96
0.2,2024,majority_vote,0.88
0.2,2024,reputation_weighted,0.9
0.2,2024,time_decayed,0.92
0.2,2025,majority_vote,0.94
0.2,2025,reputation_weighted,0.94
0.2,2025,time_decayed,0.98
0.2,2026,majority_vote,0.88
0.2,2026,reputation_weighted,0.92
0.2,2026,time_decayed,0.96
0.2,2027,majority_vote,0.88
0.2,2027,reputation_weighted,0.9
0.2,2027,time_decayed,0.88
0.2,2028,majority_vote,0.98
0.2,2028,reputation_weighted,0.96
0.2,2028,time_decayed,0.98
0.2,2029,majority_vote,0.94
0.2,2029,reputation_weighted,0.94
0.2,2029,time_decayed,0.94
0.3,2000,majority_vote,0.84
0.3,2000,reputation_weighted,0.88
0.3,2000,time_decayed,0.92
0.3,2001,majority_vote,0.9
0.3,2001,reputation_weighted,0.9
0.3,2001,time_decayed,0.9
0.3,2002,majority_vote,0.78
0.3,2002,reputation_weighted,0.82
0.3,2002,time_decayed,0.8
0.3,2003,majority_vote,0.9
0.3,2003,reputation_weighted,0.92
0.3,2003,time_decayed,0.98
0.3,2004,majority_vote,0.86
0.3,2004,reputation_weighted,0.88
0.3,2004,time_decayed,0.92
0.3,2005,majority_vote,0.86
0.3,2005,reputation_weighted,0.86
0.3,2005,time_decayed,0.88
0.3,2006,majority_vote,0.86
0.3,2006,reputation_weighted,0.86
0.3,2006,time_decayed,0.88
0.3,2007,majority_vote,0.8
0.3,2007,reputation_weighted,0.8
0.3,2007,time_decayed,0.9
0.3,2008,majority_vote,0.88
0.3,2008,reputation_weighted,0.9
0.3,2008,time_decayed,0.9
0.3,2009,majority_vote,0.76
0.3,2009,reputation_weighted,0.82
0.3,2009,time_decayed,0.96
0.3,2010,majority_vote,0.9
0.3,2010,reputation_weighted,0.9
0.3,2010,time_decayed,0.96
0.3,2011,majority_vote,0.8
0.3,2011,reputation_weighted,0.84
0.3,2011,time_decayed,0.84
