sweep,parameter,comparison,n_seeds,mean_diff_pts,p_raw,p_holm,significant_holm,rank_biserial,effect_magnitude
adversarial,0.8,reputation_weighted vs majority_vote,30,72.06666666666666,1.7105279932400781e-06,0.0001225601172619301,yes,1.0,large
adversarial,0.8,time_decayed vs majority_vote,30,58.46666666666667,1.6457745401868774e-06,0.0001225601172619301,yes,1.0,large
adversarial,0.8,time_decayed vs reputation_weighted,30,-13.600000000000001,1.6826727426224771e-06,0.0001225601172619301,yes,-1.0,large
staleness,0.0,reputation_weighted vs majority_vote,30,0.20000000000000018,0.25683925795785656,1.0,no,0.42857142857142855,medium
staleness,0.0,time_decayed vs majority_vote,30,-2.200000000000002,9.968734362535255e-05,0.0020934342161324036,yes,-1.0,large
staleness,0.0,time_decayed vs reputation_weighted,30,-2.400000000000002,6.411389614474337e-05,0.001538733507473841,yes,-0.9565217391304348,large
staleness,0.1,reputation_weighted vs majority_vote,30,0.6000000000000002,0.029362903613305135,0.1761774216798308,no,0.6593406593406593,large
staleness,0.1,time_decayed vs majority_vote,30,0.13333333333333347,0.932669125405972,1.0,no,0.021052631578947368,negligible
staleness,0.1,time_decayed vs reputation_weighted,30,-0.46666666666666673,0.18860968864862926,0.9430484432431463,no,-0.32857142857142857,medium
staleness,0.2,reputation_weighted vs majority_vote,30,1.0666666666666673,0.01219002696073002,0.08533018872511014,no,0.6491228070175439,large
staleness,0.2,time_decayed vs majority_vote,30,3.2666666666666657,8.487016270161307e-05,0.0018671435794354874,yes,1.0,large
staleness,0.2,time_decayed vs reputation_weighted,30,2.1999999999999984,0.0010144733934269498,0.012173680721123396,yes,0.7944664031620553,large
staleness,0.3,reputation_weighted vs majority_vote,30,1.866666666666666,0.00025426825528986524,0.004387188214931083,yes,1.0,large
staleness,0.3,time_decayed vs majority_vote,30,5.933333333333334,5.39596890800846e-06,0.00019425488068830455,yes,1.0,large
staleness,0.3,time_decayed vs reputation_weighted,30,4.066666666666667,2.208811306599359e-05,0.0006184671658478204,yes,0.9866666666666667,large
staleness,0.4,reputation_weighted vs majority_vote,30,2.466666666666667,0.00013967296239076726,0.002653786285424578,yes,0.9021739130434783,large
staleness,0.4,time_decayed vs majority_vote,30,9.000000000000002,2.4446031821822092e-06,0.0001225601172619301,yes,1.0,large
