report_probability,reports_on_busiest_atm,algorithm,mean_us_per_call,relative_to_majority_vote,n_seeds,repeats_per_measurement
0.02,2.6,majority_vote,0.09781874978216365,1.0,10,2000
0.02,2.6,reputation_weighted,0.15114169946173206,1.5451199263772575,10,2000
0.02,2.6,time_decayed,0.2935833501396701,3.0012993500066414,10,2000
0.1,7.1,majority_vote,0.16841044925968163,1.0,10,2000
0.1,7.1,reputation_weighted,0.30233959914767183,1.7952543947049109,10,2000
0.1,7.1,time_decayed,0.6587415999092627,3.91152450934628,10,2000
0.3,15.2,majority_vote,0.2837478990841191,1.0,10,2000
0.3,15.2,reputation_weighted,0.5971645507088397,2.1045602544948037,10,2000
0.3,15.2,time_decayed,1.327810399379814,4.679542663278627,10,2000
0.5,20.7,majority_vote,0.3770000010263175,1.0,10,2000
0.5,20.7,reputation_weighted,0.8196938004402909,2.174254106654684,10,2000
0.5,20.7,time_decayed,1.8424791007419117,4.887212455506844,10,2000
