flip_probability,algorithm,mean_accuracy,std_accuracy,ci95_halfwidth,n
0.0,majority_vote,0.9926666666666667,0.01112106833535072,0.003979623194007638,30
0.0,reputation_weighted,0.9946666666666667,0.011665845619713504,0.0041745692415494145,30
0.0,time_decayed,0.9706666666666667,0.020833218390487532,0.007455071456495641,30
0.1,majority_vote,0.9453333333333334,0.031919438822019454,0.011422224488274438,30
0.1,reputation_weighted,0.9513333333333334,0.026617771265198667,0.009525047118275261,30
0.1,time_decayed,0.9466666666666667,0.033356313917471736,0.01193640363764422,30
0.2,majority_vote,0.8993333333333333,0.036192334236289106,0.01295126047505494,30
0.2,reputation_weighted,0.91,0.027667982242644835,0.009900860290033314,30
0.2,time_decayed,0.9319999999999999,0.031337979601710766,0.011214151978535916,30
0.3,majority_vote,0.8533333333333333,0.047657783916335135,0.01705411895056665,30
0.3,reputation_weighted,0.872,0.041886546272289986,0.014988908082887206,30
0.3,time_decayed,0.9126666666666666,0.045328938258888875,0.01622075223487289,30
0.4,majority_vote,0.8106666666666666,0.045404946816424076,0.016247951547869524,30
0.4,reputation_weighted,0.8353333333333334,0.040576308131829775,0.014520045385867868,30
0.4,time_decayed,0.9006666666666667,0.04118363696934728,0.01473737521923393,30
0.5,majority_vote,0.7393333333333333,0.05545630981998869,0.019844785605010004,30
0.5,reputation_weighted,0.7813333333333333,0.047250859020349235,0.016908502746668597,30
0.5,time_decayed,0.8746666666666667,0.043922606961550564,0.01571750304328613,30
0.6,majority_vote,0.6893333333333334,0.05625884349383987,0.020131968591942846,30
0.6,reputation_weighted,0.7386666666666667,0.050359626229977014,0.01802096080547567,30
0.6,time_decayed,0.8593333333333333,0.042502197373891104,0.015209216000208433,30
0.7,majority_vote,0.6413333333333333,0.06537601233255014,0.023394505560525445,30
0.7,reputation_weighted,0.6993333333333334,0.07305799931812954,0.02614346929872124,30
0.7,time_decayed,0.8313333333333334,0.05217565381070669,0.018670817929206898,30
0.8,majority_vote,0.5893333333333334,0.07696543484525727,0.027541727144455137,30
0.8,reputation_weighted,0.642,0.06935167750252183,0.02481717907038377,30
0.8,time_decayed,0.8026666666666666,0.04385975559575703,0.01569501197088691,30
