report_probability,seed,algorithm,accuracy,reports_per_atm,zero_report_fraction
0.05,4005,time_decayed,0.64,1.72,0.14
0.05,4006,majority_vote,0.66,1.68,0.22
0.05,4006,reputation_weighted,0.68,1.68,0.22
0.05,4006,time_decayed,0.6,1.68,0.22
0.05,4007,majority_vote,0.52,1.56,0.2
0.05,4007,reputation_weighted,0.62,1.56,0.2
0.05,4007,time_decayed,0.62,1.56,0.2
0.05,4008,majority_vote,0.7,1.62,0.16
0.05,4008,reputation_weighted,0.78,1.62,0.16
0.05,4008,time_decayed,0.76,1.62,0.16
0.05,4009,majority_vote,0.78,1.58,0.2
0.05,4009,reputation_weighted,0.76,1.58,0.2
0.05,4009,time_decayed,0.72,1.58,0.2
0.05,4010,majority_vote,0.64,1.46,0.24
0.05,4010,reputation_weighted,0.68,1.46,0.24
0.05,4010,time_decayed,0.62,1.46,0.24
0.05,4011,majority_vote,0.76,1.36,0.3
0.05,4011,reputation_weighted,0.78,1.36,0.3
0.05,4011,time_decayed,0.76,1.36,0.3
0.05,4012,majority_vote,0.58,1.58,0.16
0.05,4012,reputation_weighted,0.62,1.58,0.16
0.05,4012,time_decayed,0.66,1.58,0.16
0.05,4013,majority_vote,0.74,1.14,0.42
0.05,4013,reputation_weighted,0.8,1.14,0.42
0.05,4013,time_decayed,0.76,1.14,0.42
0.05,4014,majority_vote,0.6,1.28,0.3
0.05,4014,reputation_weighted,0.66,1.28,0.3
0.05,4014,time_decayed,0.56,1.28,0.3
0.05,4015,majority_vote,0.58,1.74,0.14
0.05,4015,reputation_weighted,0.64,1.74,0.14
0.05,4015,time_decayed,0.6,1.74,0.14
0.05,4016,majority_vote,0.58,1.52,0.22
0.05,4016,reputation_weighted,0.58,1.52,0.22
0.05,4016,time_decayed,0.56,1.52,0.22
0.05,4017,majority_vote,0.64,1.44,0.22
0.05,4017,reputation_weighted,0.68,1.44,0.22
0.05,4017,time_decayed,0.68,1.44,0.22
0.05,4018,majority_vote,0.64,1.4,0.24
0.05,4018,reputation_weighted,0.7,1.4,0.24
0.05,4018,time_decayed,0.6,1.4,0.24
0.05,4019,majority_vote,0.64,1.48,0.24
0.05,4019,reputation_weighted,0.7,1.48,0.24
0.05,4019,time_decayed,0.64,1.48,0.24
0.05,4020,majority_vote,0.56,1.7,0.2
0.05,4020,reputation_weighted,0.64,1.7,0.2
0.05,4020,time_decayed,0.6,1.7,0.2
0.05,4021,majority_vote,0.6,1.48,0.24
0.05,4021,reputation_weighted,0.7,1.48,0.24
0.05,4021,time_decayed,0.64,1.48,0.24
0.05,4022,majority_vote,0.7,1.42,0.2
0.05,4022,reputation_weighted,0.72,1.42,0.2
0.05,4022,time_decayed,0.7,1.42,0.2
0.05,4023,majority_vote,0.64,1.7,0.1
0.05,4023,reputation_weighted,0.7,1.7,0.1
0.05,4023,time_decayed,0.64,1.7,0.1
0.05,4024,majority_vote,0.52,1.34,0.2
0.05,4024,reputation_weighted,0.54,1.34,0.2
0.05,4024,time_decayed,0.52,1.34,0.2
0.05,4025,majority_vote,0.72,1.5,0.28
0.05,4025,reputation_weighted,0.78,1.5,0.28
0.05,4025,time_decayed,0.76,1.5,0.28
0.05,4026,majority_vote,0.72,1.62,0.22
0.05,4026,reputation_weighted,0.78,1.62,0.22
