report_probability,seed,algorithm,accuracy,reports_per_atm,zero_report_fraction
0.3,4029,reputation_weighted,0.98,9.06,0.0
0.3,4029,time_decayed,0.98,9.06,0.0
0.4,4000,majority_vote,0.86,11.92,0.0
0.4,4000,reputation_weighted,1.0,11.92,0.0
0.4,4000,time_decayed,0.98,11.92,0.0
0.4,4001,majority_vote,0.64,10.94,0.0
0.4,4001,reputation_weighted,0.96,10.94,0.0
0.4,4001,time_decayed,0.96,10.94,0.0
0.4,4002,majority_vote,0.9,12.24,0.0
0.4,4002,reputation_weighted,1.0,12.24,0.0
0.4,4002,time_decayed,0.98,12.24,0.0
0.4,4003,majority_vote,0.78,11.78,0.0
0.4,4003,reputation_weighted,1.0,11.78,0.0
0.4,4003,time_decayed,0.98,11.78,0.0
0.4,4004,majority_vote,0.76,12.24,0.0
0.4,4004,reputation_weighted,1.0,12.24,0.0
0.4,4004,time_decayed,0.98,12.24,0.0
0.4,4005,majority_vote,0.74,12.32,0.0
0.4,4005,reputation_weighted,0.98,12.32,0.0
0.4,4005,time_decayed,0.98,12.32,0.0
0.4,4006,majority_vote,0.7,12.04,0.0
0.4,4006,reputation_weighted,0.96,12.04,0.0
0.4,4006,time_decayed,0.94,12.04,0.0
0.4,4007,majority_vote,0.82,12.02,0.0
0.4,4007,reputation_weighted,1.0,12.02,0.0
0.4,4007,time_decayed,0.98,12.02,0.0
0.4,4008,majority_vote,0.8,12.68,0.0
0.4,4008,reputation_weighted,0.96,12.68,0.0
0.4,4008,time_decayed,0.96,12.68,0.0
0.4,4009,majority_vote,0.8,11.42,0.0
0.4,4009,reputation_weighted,0.94,11.42,0.0
0.4,4009,time_decayed,0.98,11.42,0.0
0.4,4010,majority_vote,0.8,11.66,0.0
0.4,4010,reputation_weighted,1.0,11.66,0.0
0.4,4010,time_decayed,0.9,11.66,0.0
0.4,4011,majority_vote,0.84,11.98,0.0
0.4,4011,reputation_weighted,1.0,11.98,0.0
0.4,4011,time_decayed,0.98,11.98,0.0
0.4,4012,majority_vote,0.76,11.56,0.0
0.4,4012,reputation_weighted,1.0,11.56,0.0
0.4,4012,time_decayed,0.98,11.56,0.0
0.4,4013,majority_vote,0.72,11.9,0.0
0.4,4013,reputation_weighted,1.0,11.9,0.0
0.4,4013,time_decayed,0.96,11.9,0.0
0.4,4014,majority_vote,0.88,12.32,0.0
0.4,4014,reputation_weighted,1.0,12.32,0.0
0.4,4014,time_decayed,1.0,12.32,0.0
0.4,4015,majority_vote,0.76,11.46,0.0
0.4,4015,reputation_weighted,0.96,11.46,0.0
0.4,4015,time_decayed,0.94,11.46,0.0
0.4,4016,majority_vote,0.74,12.28,0.0
0.4,4016,reputation_weighted,0.96,12.28,0.0
0.4,4016,time_decayed,0.92,12.28,0.0
0.4,4017,majority_vote,0.74,12.2,0.0
0.4,4017,reputation_weighted,1.0,12.2,0.0
0.4,4017,time_decayed,0.98,12.2,0.0
0.4,4018,majority_vote,0.82,11.96,0.0
0.4,4018,reputation_weighted,1.0,11.96,0.0
0.4,4018,time_decayed,1.0,11.96,0.0
0.4,4019,majority_vote,0.88,12.32,0.0
0.4,4019,reputation_weighted,1.0,12.32,0.0
0.4,4019,time_decayed,0.98,12.32,0.0
0.4,4020,majority_vote,0.6,11.56,0.0
0.4,4020,reputation_weighted,0.98,11.56,0.0
0.4,4020,time_decayed,0.96,11.56,0.0
0.4,4021,majority_vote,0.72,11.88,0.0
0.4,4021,reputation_weighted,1.0,11.88,0.0
0.4,4021,time_decayed,0.92,11.88,0.0
0.4,4022,majority_vote,0.74,12.16,0.0
0.4,4022,reputation_weighted,1.0,12.16,0.0
0.4,4022,time_decayed,0.98,12.16,0.0
0.4,4023,majority_vote,0.84,11.54,0.0
0.4,4023,reputation_weighted,1.0,11.54,0.0
0.4,4023,time_decayed,0.96,11.54,0.0
0.4,4024,majority_vote,0.72,11.5,0.0
0.4,4024,reputation_weighted,0.98,11.5,0.0
0.4,4024,time_decayed,1.0,11.5,0.0
0.4,4025,majority_vote,0.82,11.7,0.0
0.4,4025,reputation_weighted,1.0,11.7,0.0
0.4,4025,time_decayed,0.92,11.7,0.0
0.4,4026,majority_vote,0.74,12.42,0.0
0.4,4026,reputation_weighted,1.0,12.42,0.0
0.4,4026,time_decayed,1.0,12.42,0.0
0.4,4027,majority_vote,0.88,12.14,0.0
0.4,4027,reputation_weighted,0.98,12.14,0.0
0.4,4027,time_decayed,0.94,12.14,0.0
0.4,4028,majority_vote,0.76,12.1,0.0
0.4,4028,reputation_weighted,0.98,12.1,0.0
0.4,4028,time_decayed,0.98,12.1,0.0
0.4,4029,majority_vote,0.7,12.84,0.0
0.4,4029,reputation_weighted,1.0,12.84,0.0
0.4,4029,time_decayed,0.96,12.84,0.0
0.5,4000,majority_vote,0.88,15.02,0.0
0.5,4000,reputation_weighted,0.98,15.02,0.0
0.5,4000,time_decayed,1.0,15.02,0.0
0.5,4001,majority_vote,0.8,14.48,0.0
0.5,4001,reputation_weighted,1.0,14.48,0.0
0.5,4001,time_decayed,0.98,14.48,0.0
0.5,4002,majority_vote,0.9,14.92,0.0
0.5,4002,reputation_weighted,1.0,14.92,0.0
0.5,4002,time_decayed,1.0,14.92,0.0
0.5,4003,majority_vote,0.74,14.54,0.0
0.5,4003,reputation_weighted,1.0,14.54,0.0
0.5,4003,time_decayed,0.9,14.54,0.0
0.5,4004,majority_vote,0.82,15.34,0.0
0.5,4004,reputation_weighted,1.0,15.34,0.0
0.5,4004,time_decayed,1.0,15.34,0.0
0.5,4005,majority_vote,0.82,14.78,0.0
0.5,4005,reputation_weighted,0.96,14.78,0.0
0.5,4005,time_decayed,0.92,14.78,0.0
0.5,4006,majority_vote,0.64,15.46,0.0
0.5,4006,reputation_weighted,0.98,15.46,0.0
0.5,4006,time_decayed,0.96,15.46,0.0
0.5,4007,majority_vote,0.84,15.26,0.0
0.5,4007,reputation_weighted,1.0,15.26,0.0
0.5,4007,time_decayed,1.0,15.26,0.0
0.5,4008,majority_vote,0.8,15.24,0.0
0.5,4008,reputation_weighted,1.0,15.24,0.0
0.5,4008,time_decayed,0.94,15.24,0.0
0.5,4009,majority_vote,0.88,14.28,0.0
0.5,4009,reputation_weighted,1.0,14.28,0.0
0.5,4009,time_decayed,1.0,14.28,0.0
0.5,4010,majority_vote,0.8,15.36,0.0
0.5,4010,reputation_weighted,1.0,15.36,0.0
0.5,4010,time_decayed,0.94,15.36,0.0
0.5,4011,majority_vote,0.88,15.6,0.0
0.5,4011,reputation_weighted,1.0,15.6,0.0
0.5,4011,time_decayed,1.0,15.6,0.0
0.5,4012,majority_vote,0.82,14.54,0.0
0.5,4012,reputation_weighted,1.0,14.54,0.0
0.5,4012,time_decayed,0.94,14.54,0.0
0.5,4013,majority_vote,0.78,15.6,0.0
0.5,4013,reputation_weighted,1.0,15.6,0.0
0.5,4013,time_decayed,0.98,15.6,0.0
0.5,4014,majority_vote,0.82,15.5,0.0
0.5,4014,reputation_weighted,1.0,15.5,0.0
0.5,4014,time_decayed,0.98,15.5,0.0
0.5,4015,majority_vote,0.8,14.52,0.0
0.5,4015,reputation_weighted,1.0,14.52,0.0
0.5,4015,time_decayed,0.98,14.52,0.0
0.5,4016,majority_vote,0.72,15.66,0.0
0.5,4016,reputation_weighted,1.0,15.66,0.0
0.5,4016,time_decayed,1.0,15.66,0.0
0.5,4017,majority_vote,0.88,14.98,0.0
0.5,4017,reputation_weighted,1.0,14.98,0.0
0.5,4017,time_decayed,1.0,14.98,0.0
0.5,4018,majority_vote,0.84,15.4,0.0
0.5,4018,reputation_weighted,1.0,15.4,0.0
0.5,4018,time_decayed,0.98,15.4,0.0
0.5,4019,majority_vote,0.88,14.54,0.0
0.5,4019,reputation_weighted,1.0,14.54,0.0
0.5,4019,time_decayed,1.0,14.54,0.0
0.5,4020,majority_vote,0.74,14.8,0.0
0.5,4020,reputation_weighted,1.0,14.8,0.0
0.5,4020,time_decayed,0.98,14.8,0.0
0.5,4021,majority_vote,0.86,14.52,0.0
0.5,4021,reputation_weighted,1.0,14.52,0.0
0.5,4021,time_decayed,0.98,14.52,0.0
0.5,4022,majority_vote,0.82,15.08,0.0
0.5,4022,reputation_weighted,1.0,15.08,0.0
0.5,4022,time_decayed,1.0,15.08,0.0
0.5,4023,majority_vote,0.88,14.36,0.0
0.5,4023,reputation_weighted,1.0,14.36,0.0
0.5,4023,time_decayed,0.98,14.36,0.0
0.5,4024,majority_vote,0.78,14.64,0.0
0.5,4024,reputation_weighted,0.98,14.64,0.0
0.5,4024,time_decayed,0.98,14.64,0.0
0.5,4025,majority_vote,0.92,14.88,0.0
0.5,4025,reputation_weighted,1.0,14.88,0.0
0.5,4025,time_decayed,0.98,14.88,0.0
0.5,4026,majority_vote,0.92,15.68,0.0
0.5,4026,reputation_weighted,1.0,15.68,0.0
0.5,4026,time_decayed,1.0,15.68,0.0
0.5,4027,majority_vote,0.88,14.38,0.0
0.5,4027,reputation_weighted,1.0,14.38,0.0
0.5,4027,time_decayed,1.0,14.38,0.0
0.5,4028,majority_vote,0.86,14.54,0.0
0.5,4028,reputation_weighted,1.0,14.54,0.0
0.5,4028,time_decayed,0.96,14.54,0.0
0.5,4029,majority_vote,0.8,15.24,0.0
0.5,4029,reputation_weighted,0.98,15.24,0.0
0.5,4029,time_decayed,1.0,15.24,0.0
